Title,Price,Description,Origin,Weight,Size,Category
LA VIEILLE FERME ROUGE 750 ML,"LKR 4,800.00","La Vieille Ferme Rouge is a well-crafted red wine from the renowned Famille Perrin. It offers a harmonious blend of fruitiness and subtle earthy notes, making it a versatile choice for various occasions. Its approachability and consistent quality have made it a popular selection among wine enthusiasts.",-,-,750ML,Red Wine
THE BEACH HOUSE SHIRAZ 750ML,"LKR 5,300.00","The Beach House Shiraz is a South African red wine from the Western Cape, crafted as a Rhône-style blend featuring 75% Shiraz, 20% Mourvèdre, and 5% Viognier. This combination results in a wine that is rich and full-bodied, offering a harmonious balance of fruit, spice, and subtle floral notes",-,-,750ML,Red Wine
ZONIN MONTEPULCIANO D’ABRUZZO 750ML,"LKR 3,400.00",N/A,-,-,750ML,Uncategorized
BELLERUCHE COTES-DU-RHONE AOC 750ML,"LKR 6,700.00","The M. Chapoutier Belleruche Côtes-du-Rhône Rouge is a vibrant red wine from the renowned Rhône Valley in France. This blend predominantly features Grenache and Syrah, offering a harmonious expression of the region’s terroir.",-,-,750ML,Red Wine
LA BERNARDINE CHATEAUNEUF-DU-PAPE AOC 750 ML,"LKR 18,900.00","La Bernardine is a refined red wine from the prestigious Châteauneuf-du-Pape appellation, crafted by M. Chapoutier. The blend predominantly features Grenache, contributing natural sweetness, elegance, silky tannins, and great finesse to the wine. This wine offers a harmonious balance of fruit and spice, showcasing the character of Châteauneuf-du-Pape",-,-,750ML,Red Wine
GARZON SAUVIGNON BLANC DE CORTE 750ML,"LKR 7,000.00","Garzón Sauvignon Blanc de Corte is a vibrant and expressive white wine from Uruguay’s renowned Garzón estate. It showcases the varietal’s typical citrus and tropical fruit notes, complemented by floral nuances. The wine’s balanced acidity and refreshing finish make it an excellent choice for various occasions.",-,-,750ML,White Wine
DOLIN VERMOUTH ROUGE 750 ML,"LKR 5,000.00","Dolin Vermouth de Chambéry Rouge is a distinguished French sweet vermouth crafted in Chambéry, a region renowned for its vermouth production since 1821. This vermouth is made from a blend of fine wines and over 50 botanicals sourced from the alpine meadows surrounding Chambéry, adhering to traditional methods that have earned the region its AOC designation.",-,-,750ML,Uncategorized
TALL HORSE BERRY SWEET RED 750ML,"LKR 4,300.00","This wine is made from a mix of red grapes. These grapes grow in the Breedekloof wine region. The weather there is like the Mediterranean, which helps the grapes grow really tasty. They get ripe and juicy, almost like shiny rubies.",-,-,750ML,Red Wine
SUNKISSED SWEET WHITE 750ML,"LKR 3,800.00","This wine smells like lemons and tastes sweet like grapes, with hints of pineapple and honey. It has a nice balance of sweetness and a refreshing finish. It’s not too strong, so it’s easy to enjoy.",-,-,750ML,White Wine
SUNKISSED SWEET RED 750ML,"LKR 3,800.00","Enjoy the smooth and tasty red blend. It’s full of juicy summer berry smells and sweet, juicy plum tastes with a hint of soft oak spice. It’s great for sipping with friends in the summer or enjoying by the fireplace in winter. Just cool it a bit before drinking in the summer for an easy, refreshing taste.",-,-,750ML,Red Wine
SUNKISSED SWEET ROSÉ 750ML,"LKR 3,800.00","Douglas Green Sunkissed Rosé is like a sweet, juicy fruit punch in a glass. It’s pink like cherry and smells like strawberries and Turkish delight candy. When you taste it, you’ll get bursts of sweet red berries. It’s not too strong, so it’s easy to drink, especially at lunchtime. Even if you’re not a big wine fan, you might still enjoy this one. It’s perfect for sipping on a hot summer day, especially if it’s really cold. You can enjoy it with picnics, chicken salads, burgers, or ribs at a BBQ.",-,-,750ML,Rose Wine
TALL HORSE MOSCATO 750ML,"LKR 4,300.00","Indulging in a glass of Tall Horse Moscato is akin to embarking on a summer getaway to the picturesque countryside. Revel in delightful notes of honeysuckle, floral essences, and ripe tropical flavors, complemented by a subtle hint of spice. The palate offers a medium-sweet sensation, delivering a smooth and utterly delicious experience, especially when paired with your favorite spicy dishes. Dare to be adventurous and even serve it alongside a fiery hot curry for an unforgettable culinary experience.",-,-,750ML,White Wine
JAM JAR SWEET SHIRAZ 750 ML,"LKR 4,900.00","This fresh, fruity, semi-sweet wine displays aromas and flavors of ripe, juicy berries with dark chocolate undertones. The perfect balance between sweetness and acidity makes for a refreshing approachability. It is a versatile food wine, best served slightly chilled.",-,-,750ML,Red Wine
POMMERY BRUT ROYAL 750ML,"LKR 21,700.00",N/A,-,-,750ML,Uncategorized
POMMERY APANAGE BLANC DE BLANC 750ML,"LKR 29,700.00","The Pommery Apanage Blanc de Blancs 750ml is a refined non-vintage Champagne crafted exclusively from 100% Chardonnay grapes, sourced from the esteemed chalk terroirs of the Côte des Blancs and Montagne de Reims in France . This cuvée exemplifies Pommery’s dedication to elegance, freshness, and finesse.",-,-,750ML,White Wine
POMMERY BRUT ROSE ROYAL 750ML,"LKR 25,700.00","The Pommery Brut Rosé Royal 750ml is an elegant non-vintage rosé Champagne from the esteemed Pommery House in Reims, France. Renowned for its refined character and vibrant freshness, this Champagne is ideal for romantic evenings and celebratory occasions.",-,-,750ML,Rose Wine
POMMERY GRAN CRU ROYAL 750ML,"LKR 33,700.00",N/A,-,-,750ML,Uncategorized
CROFT FINE WHITE PORT 750 ML,"LKR 6,700.00",N/A,-,-,750ML,White Wine
MILLAMAN CAMPERO SAUVIGNON BLANC 750 ML,"LKR 3,000.00","Discover our Central Valley Chilean Sauvignon Blanc – the ideal choice for seafood, vegetarian fare, and goat’s milk cheese.",-,-,750ML,White Wine
PUNT ROAD PINOT NOIR 750 ML,"LKR 9,400.00",N/A,-,-,750ML,Red Wine
EL ZORRO EL ROJO 750ML,"LKR 3,000.00",N/A,-,-,750ML,Uncategorized
PHILIPPE RAGUENOT CREMANT BLANC SPARKLING 750ML,"LKR 9,000.00",N/A,-,-,750ML,White Wine
PHILIPPE RAGUENOT CREMANT ROSE SPARKLING 750ML,"LKR 9,000.00","The Philippe Raguenot Crémant de Bordeaux Rosé is a distinguished sparkling wine that exemplifies the finesse of Bordeaux’s winemaking tradition. Crafted exclusively from 100% Malbec grapes, this rosé crémant offers a unique expression within the sparkling wine category.",-,-,750ML,Sparkling Wine
ROBERT GIRAUD LA COLLECTION BOREAUX ROUGE 750ML,"LKR 5,900.00",N/A,-,-,750ML,Uncategorized
DR.LOOSEN RIESLING 750 ML,"LKR 5,600.00","The smell of the wine is strong and fruity, like apples and peaches. You can also smell some vegetable scents and a really good mineral smell. When you taste it, it’s refreshing and delicious, and you can still taste the fruity flavor. The aftertaste is long and a bit spicy.",-,-,750ML,White Wine
BANROCK STATION SHIRAZ 750 ML,"LKR 4,000.00","The Banrock Station Shiraz is a rich and full-bodied red wine with strong flavors of blackberry, coffee, and oak, along with a touch of clove and cinnamon. It has a full-bodied taste, showcasing plum and blackberry notes, complemented by hints of clove and aniseed spices. The alcohol by volume (ABV) of this wine is 13%.",-,-,750ML,Red Wine
HARDY’S STAMP CABERNET MERLOT,"LKR 4,100.00","It is a rich and smooth red wine, blending the bold flavors of Cabernet Sauvignon with the softness of Merlot. It offers aromas of ripe berries, dark cherries, and subtle oak, with a well-balanced palate and a lingering finish. Perfect for pairing with grilled meats, pasta, or cheese platters.",-,-,Unspecified,Red Wine
BOUCHARD AINE & FILS MACON VILLAGES CHARDONNAY 750ML,"LKR 9,690.00","This wine is 100% Chardonnay. It looks pale gold with green hints. Smells flowery, fruity, and a bit spicy with citrus and mint notes. Tastes balanced, with grass and flower flavors. Goes well with seafood, snails, and goat cheese. Serve at 10-12°C.  It’s from the Mâcon-Villages region and made in stainless steel tanks with controlled temperature.",-,-,750ML,White Wine
BOUCHARD AINE & FILS CHABLIS 750ML,"LKR 11,000.00","This wine smells light and fruity with hints of minerals, white flowers, and peaches. It’s dry with a citrusy taste. It’s made in steel tanks without oak aging. Great with seafood, chicken, and salads.",-,-,750ML,White Wine
CHATEAU DES FERRAGES NOTE ROSE IGP 750ML,"LKR 5,100.00","The Château des Ferrages Note Rosé IGP 750ml is a refined French rosé from the Méditerranée region, crafted under the expertise of the Chapoutier family. This wine embodies the elegance and freshness characteristic of Provence rosés.",-,-,750ML,Rose Wine
LES GRANGES HAUT MEDOC 750ML,"LKR 10,000.00","Les Granges Haut-Medoc wine is a nice, dark red color. When you smell it, it doesn’t have a strong smell of wood. Instead, it smells mostly like red currants, plums, and some herbs.",-,-,750ML,Red Wine
FLECHAS DE LOS ANDES GRAN MALBEC 750ML,"LKR 13,500.00","Flechas De Los Andes Gran Malbec wine has a strong color with violet shades, which is common for this type. When you smell it, you can mostly smell fruity scents like plums and cherries, along with flowery violet scents that are typical for Malbec from Uco. When you take a sip, it feels smooth and the tannins (which are like the texture of the wine) are fine, polished, and dense, making it taste really good in the middle of your mouth. It also has a mineral taste, freshness, a subtle hint of oak, and a long-lasting aftertaste, which all together make this wine an excellent example of high quality and elegance.",-,-,750ML,Red Wine
FLECHAS DE LOS ANDES GRAN CORTE 750ML,"LKR 22,600.00","Flechas De Los Andes Gran Corte wine tastes nice because it has the flavors of wood, like toasted almonds and vanilla. These flavors blend together nicely and make the wine smell really good. When you taste it, the wine feels full and smooth in your mouth. It also has a little bit of a tannic taste, like a tea-like bitterness, and the nice flavor lingers for a while after you swallow it.",-,-,750ML,Uncategorized
FLECHAS DE LOSAND PUNTA DE BLEND 750ML,"LKR 9,700.00",Flechas De Losand Punta De Blend wine is fancy and well-balanced. It has a nice mix of oak flavors that balance out the taste of black and red fruits and some herbal notes.,-,-,750ML,Red Wine
RUPERT & ROTHSCHILD BARONE NADINE CHARDONNAY 750ML,"LKR 15,700.00","Rupert & Rothschild Barone Nadine Chardonnay  wine tastes really good and smooth in your mouth. It has a nice balance of flavors because of the refreshing acidity, which goes well with the creamy taste from the oak. Inside, you can taste lemon curd, gooseberries, and toasted almonds. It’s a fancy wine that’s really impressive and reminds you of high-quality wines from Burgundy, a famous wine region.",-,-,750ML,White Wine
RUPERT & ROTHSCHILD CLASSIQUE 750ML,"LKR 12,700.00","This wine tastes very fruity and has soft tannins that make your mouth happy. This wine is well-balanced, which means it has a nice mix of interesting flavors and personality. People who really know and appreciate wine will enjoy it.",-,-,750ML,Uncategorized
RIMAPERE SAUVIGNON BLANC MARLBOR 750ML,"LKR 11,300.00","Rimapere Sauvignon Blanc Marlbor wine is a light yellow color. When you smell it, you can notice the smell of limes and lemons, along with the nice scent of white flowers. It also has a little bit of a woody smell and a creamy texture. When you take a sip, it feels smooth, and you can taste the flavors of lemons and grapefruits. The taste stays in your mouth for a long time after you swallow.",-,-,750ML,White Wine
CHATEAU DES LAURETS BARON 750ML,"LKR 26,700.00","Chateau Des Laurets Baron wine is a dark purple-red color. When you smell it, you’ll notice spicy scents like cloves, fenugreek, cinnamon, and black pepper. Underneath those spices, you’ll find the smell of black cherries and ripe plums with a hint of mint.",-,-,750ML,Red Wine
CHATEAU CLARKE 750ML,"LKR 18,900.00","This wine has a strong smell of ripe black currants mixed with cedar, cloves, and violets. It tastes round and full, like baked plums, and it has a good balance of chewy tannins and not too much acidity.",-,-,750ML,Uncategorized
STUDIO BY MIRAVAL 750ML,"LKR 7,500.00","Studio By Miraval wine is a very light pink color. It smells like fresh fruits and citrus fruits. When you taste it, it feels juicy with flavors of citrus and white flowers. It has a long finish with a hint of saltiness.",-,-,750ML,White Wine
ZUCCARDI SERIE A CABERNET SAUVIGNON 750ML,"LKR 5,700.00","This wine is a rich red-violet color and has a strong, pleasant smell of blackberries, red currants, and a little bit of pepper. It’s a full-bodied wine, meaning it feels rich and heavy in your mouth, and it has a long-lasting taste. It’s best enjoyed with dishes like beef and venison.",-,-,750ML,Red Wine
KUMALA SAUVIGNON BLANC COLOMBARD 750ML,"LKR 4,100.00","Kumala Sauvignon Blanc Colombard wine is bright and has a pale straw color with a touch of green. When you smell it, you’ll notice a fresh floral scent with a hint of freshly cut grass. When you taste it, you’ll experience a sharp acidity and flavors of citrus fruit. It’s very refreshing and has a good structure. You can enjoy it by itself or pair it with seafood dishes, salads, or pasta.",-,-,750ML,White Wine
GARZON PINOT ROSE DE CORTE 750ML,"LKR 7,000.00","Garzon Pinot Rose de Corte is a light pink wine with a sweet scent of cherries and strawberries. It tastes fresh and elegant with a strong sourness. The finish has a hint of minerals, giving it a unique character. Enjoy it in the summer with dishes like salads, seafood, and quiches.",-,-,750ML,Rose Wine
GARZON ALBARINO RESERVA 750ML,"LKR 8,900.00",Garzon Albarino Reserva wine is a light yellow color with hints of green. It smells like peaches and has a nice balance of citrus flavors. It tastes fresh and a bit mineral-like with a tangy kick. The taste lingers in your mouth for a while. It’s made in stainless-steel tanks for 3 to 6 months.,-,-,750ML,Uncategorized
GARZON VIOGNIER DE CORTE 750ML,"LKR 7,000.00","This is a wine with marked varietal typicity. Unctuous and fresh on the palate, it presents floral, peachy aromas. The minerality of this wine, along with its elegant aroma and a round and intense finish, makes it a wine of great character.",-,-,750ML,White Wine
GARZON TANNAT DE CORTE 750ML,"LKR 7,000.00","Garzon Tannat De Corte wine tastes like the Tannat grape, which is strong, but it’s also smooth because we mixed it with Marselan, Petit Verdot, and Cabernet Franc grapes. It’s a deep red color and smells and tastes like red fruits. It’s easy to drink with a nice finish.",-,-,750ML,Red Wine
SPY VALLEY SAUVIGNON BLANC 750 ML,"LKR 9,700.00","The nose offers aromas of passion fruit, ripe melon, subtle herbs, and a touch of minerals. On the palate, these fruity notes harmonize with a pleasing richness and refreshing acidity. This wine is a superb match for cold salads like mixed greens, pasta, potato, and light chicken or seafood dishes.",-,-,750ML,White Wine
SANTA JULIA RESERVA MALBEC 750 ML,"LKR 4,800.00","Santa Julia Reserve Malbec is a rich red wine with scents and flavors of plum, spices, and vanilla",-,-,750ML,Red Wine
SANTA JULIA ORGANIC MALBEC,"LKR 4,800.00","Santa Julia Organic Malbec is a red wine made by an eco-friendly winery in Argentina. “Organic” means the grapes are grown without chemicals. It tastes like ripe blackberries, plums, and has a medium to full body. You can pair it with meats, veggies, cheese, and chocolate desserts.",-,-,Unspecified,Red Wine
JAM JAR SWEET WHITE 750ML,"LKR 4,900.00","This lovely Moscato has tastes of peach, apricot, lychee, and orange blossom. It feels lively and fresh with a tangy taste. It’s nice for celebrating special moments, but also perfect for everyday enjoyment. This happy and bright white wine will surely make you happy.",-,-,750ML,White Wine
CHATEAU MIRAVAL COTES DE PROVENCE 750ML,"LKR 11,700.00","This wine is pretty pink, like salmon. It smells like flowers and melon, tastes fresh and complex. It’s not too heavy, with a zesty finish. It’s from a famous vineyard. Best to drink it young. Good with chicken salad, salmon, or minty quinoa tarts.",-,-,750ML,Rose Wine
TORRES FLORALIS MOSCATEL ORO VINO DE LICOR,"LKR 6,700.00","The Floralis Moscatel Oro, made by Miguel Torres in Spain, is a sweet wine with a rich golden color. It smells like flowers, lime, and grapefruit. It’s very fruity and smooth. When you taste it, it feels silky and not too sweet. It goes well with desserts like banana trifle, blackberry cream, or pear-lime strudel. It’s best served cold at 8-10°C.",-,-,Unspecified,Uncategorized
ANTINORI SANTA CRISTINA GIARDINO ROSE,"LKR 6,200.00","Antinori Santa Cristina Giardino Rosé di Toscana is a tasty Italian wine with fruity and flowery smells. It’s pink and refreshing, made in Tuscany, Italy. Smells like strawberries and cherries. Good with salads, fish, or before a meal. Great for any time and for people who like rosé wine.",-,-,Unspecified,Rose Wine
BOUCHARD VIN DE PAYS CHARDONNAY 750ML,"LKR 5,200.00","This wine is made from grapes grown in good vineyards in two valleys. It’s light gold in color. Smells like pears, apricots, bread, and almonds with a hint of flowers. It’s not too heavy, tastes like ripe pears, apricots, and a bit of spice. It’s well-balanced and has a long aftertaste.",-,-,750ML,White Wine
MIGNON ROSE BRUT PIERRE CHAMPAGNE 750 ML,"LKR 17,200.00","This rose is really pretty and colorful. It smells like red berries and has a hint of biscuit-like complexity. When you taste it, it’s bright, juicy, and creamy. It has a center of ripe red fruit and a softly scented finish.",-,-,750ML,Sparkling Wine
MIGNON GRANDE RESERVE BRUT CHAMPAGNE 750 ML,"LKR 14,200.00","This wine tastes rich and full-bodied, with a fresh touch that highlights flavors of the forest and wild mushrooms. It has a classy sparkle and ends with a fruity and smooth taste.",-,-,750ML,Sparkling Wine
POL ROGER BRUT RESERVE CHAMPAGNE 750ML,"LKR 30,800.00","Pol Roger Brut Réserve is a lovely golden-straw colored sparkling wine with lots of tiny bubbles. It smells fruity (like pears and mango) and later, it has hints of flowers (honeysuckle and white jasmine), ending with vanilla and brioche smells. When you taste it, it starts strong and fresh, and it keeps a nice balance and structure.",-,-,750ML,Sparkling Wine
POL ROGER VINTAGE CHAMPAGNE 750ML,"LKR 46,000.00","his wine smells good when you open it. It’s like lemons, sweet pastries, and nuts. As it sits, it smells like roasted nuts and orange jam, showing it’s a fancy Champagne.",-,-,750ML,Sparkling Wine
CROFT PINK PORT,"LKR 7,800.00","Croft’s Pink Port was the first pink Port. It gets its fresh, fruity taste and pink color by not extracting too much from the grapes, keeping the fruitiness without too much tannin.",-,-,Unspecified,Rose Wine
ANTINORI TIGNANELLO TOSCANA ROSSO 750ML,"LKR 50,400.00","This wine has a fruity scent with cherries, raspberries, and plums, mixed with spices like cloves and licorice. It also smells like mint and chocolate. When you taste it, it’s full and lively with soft tannins. The flavors stay in your mouth for a while, like the smells you noticed.",-,-,750ML,Red Wine
PEPPOLI CHIANTI CLASSICO,"LKR 9,500.00",Pèppoli Chianti Classico is ruby red. It smells like cherries and red currants with a hint of violets and oak. It tastes fresh with smooth tannins.,-,-,Unspecified,Red Wine
PIAN DELLE VIGNE BRUNELLO DI MONTALCINO,"LKR 24,900.00","Pian delle Vigne Brunello di Montalcino wine is red. It smells complex, like menthol and cloves, then cherries, plums, and cinnamon. It tastes smooth with gentle tannins and freshness. The finish has vanilla and violet hints, typical of Sangiovese.",-,-,Unspecified,Red Wine
SCALABRONE TENUTA GUADO AL TASSO,"LKR 9,200.00","Scalabrone wine is a light pink color that looks like a peony flower. When you smell it, you can notice strong scents of red fruits, like cherries and pomegranates that are very ripe. There are also some hints of sweet citrus fruits, like candied oranges. When you taste the wine, it’s very fruity and delicate, and it stays fresh and flavorful for a long time.",-,-,Unspecified,Red Wine
FAMILLE PERRIN CHATEAUNEUF-DU-PAPE LES SINARDS ROUGE 750ML,"LKR 18,800.00","This wine looks ruby-red and beautiful. It smells nice, with hints of red fruits, chocolate, and sweet spices. It tastes really good, with a smooth texture and flavors of strawberries and ripe plums. It leaves a nice aftertaste that lasts for a while.",-,-,750ML,Red Wine
TORRESELLA PINOT GRIGIO 750ML,"LKR 5,500.00","This wine is not sweet, it’s dry with citrus and apple flavors. It’s crisp and clean, with a hint of white fruit and flowers in the aroma. It pairs well with various foods, has a medium body, and isn’t aged in oak, so it stays fresh. People enjoy its fresh fruit taste.",-,-,750ML,White Wine
ZONIN VENTITERRE PINOT GRIGIO 750ML,"LKR 4,600.00","This wine looks yellow with a touch of green. It tastes fruity but not too strong. When you smell it, you’ll notice pleasant scents. It’s a bit dry but very refreshing, and you can taste the grapes. This wine is light and elegant, a classy pick.",-,-,750ML,White Wine
ROTHBURY ESTATE PREMIUM SELECTION SHIRAZ CABERNET 750 ML,"LKR 4,300.00","The Rothbury Estate Shiraz Cabernet wine is a very dark red or black color. It smells like dark plums, chocolates, and a bit of blackcurrant. It has a lot of color, taste, and structure. The rich fruity flavors are made even better by fancy French oak. The aftertaste lasts for a long time and feels strong.",-,-,750ML,Red Wine
OYSTER BAY SAUVIGNON BLANC 750ML,"LKR 7,000.00","Oyster Bay makes special wines that taste amazing and come from a specific place. Their Sauvignon Blanc is really famous and won a big award. It’s super clear, smells great, and tastes really fresh and zingy. This wine has citrus and tropical fruit flavors, and it’s perfect to drink before a meal or with seafood, spicy food, or Asian dishes.",-,-,750ML,White Wine
OYSTER BAY PINOT NOIR 750 ML,"LKR 8,200.00",N/A,-,-,750ML,Red Wine
MILLAMAN CONDOR MERLOT 750 ML,"LKR 3,900.00","Condor is a traditional Merlot wine that smells nice. It has red and black fruits, a bit of spice, and a touch of cocoa in its smell. When you taste it, the wine feels balanced and leaves a soft and nice taste in your mouth. This Merlot is a good choice and is worth its price. You will like it!",-,-,750ML,Red Wine
A NOS AMOURS BLANC DE BLANCS BRUT SPARKLING 750 ML,"LKR 4,000.00",N/A,-,-,750ML,White Wine
VASSE FELIX CABERNET MERLOT 750 ML,"LKR 8,500.00","This wine is a light, reddish-purple color. It smells nice, like red berries mixed with the scent of a spring garden. There’s also a hint of bread with herbs and tomatoes, like focaccia. It’s a bit like the sea breeze, mushrooms, bay leaves, and sweet cinnamon mixed together. The taste is really good – it’s juicy and has strong tannins. After you sip it, you can still taste the interesting flavors of mushroom custard and wild berries.",-,-,750ML,Red Wine
FAMILLE COTES DU RHONE RESERVE ROUGE 750ML,"LKR 6,100.00","This wine is dark and smells nice, with scents from Grenache and a bit of blackcurrant from Syrah. It tastes a bit complex with gentle tannins, not too strong, and a fresh feeling.",-,-,750ML,Red Wine
MILLAMAN CON SAUVIGNON BLANC 375 ML,"LKR 2,100.00",N/A,-,-,375ML,White Wine
20 BARREL CON SUR PINOT NOIR 750 ML,"LKR 13,600.00","A delightful red wine with a smooth and fruity taste. Made from carefully selected grapes, this wine offers rich flavors of red berries and a hint of spice. Perfect for sharing with friends or enjoying a cozy evening.",-,-,750ML,Red Wine
WOODBRIDGE WHITE ZINFANDEL 750 ML,"LKR 6,100.00","Robert Mondavi White Zinfandel is a rosé wine produced by Robert Mondavi Winery in Napa Valley, California. Robert Mondavi White Zinfandel wine bottle. It is made from 100% Zinfandel grapes that are partially fermented to a light pink color.",-,-,750ML,White Wine
SAINT JOSEPH LES GRANILITES AOC 750ML,"LKR 15,700.00","Saint-Joseph Les Granilites is a red wine that hails from the Saint-Joseph appellation in the Rhône Valley of France. Produced from carefully selected grapes grown on granite-rich soils, this wine represents the terroir and craftsmanship of the region",-,-,750ML,Red Wine
AMARONE DELLA VALPOLICELLA DOC CLASSICO 750ML,"LKR 25,200.00","Produced in our Costalunga Estate, in the Classical area of Valpolicella, a land full of tradition and well known for its wine and food culture, after a careful manual selection, the Corvina, Rondinella and Oseleta grapes are left to rest in small boxes and then gently pressed to create a wine of undoubted quality with great complexity that gets better with age.",-,-,750ML,Uncategorized
